PDDL domain,PDDL problem,LTLf goal,Cooperative moves counter
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/new_p4.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/new_p4.ltlf,12
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/new_p5.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/new_p5.ltlf,15
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/new_p6.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/new_p6.ltlf,17
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/new_p7.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/new_p7.ltlf,14
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/new_p8.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/new_p8.ltlf,TIMEOUT
./../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/new_p9.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/new_p9.ltlf,TIMEOUT
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/new_p10.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_3/new_p10.ltlf,TIMEOUT
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p1.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p1.ltlf,3
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p2.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p2.ltlf,9
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p3.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p3.ltlf,7
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p4.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p4.ltlf,12
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p5.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p5.ltlf,15
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p6.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p6.ltlf,17
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p7.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p7.ltlf,MEM,MEM,MEM,MEM
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p8.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p8.ltlf,MEM,MEM,MEM,MEM
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p9.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p9.ltlf,MEM,MEM,MEM,MEM
../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/domain.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p10.pddl,../../Examples/fond/Benchmarks/pddl-generators-main/grid/GRID_4/new_p10.ltlf,MEM,MEM,MEM,MEM
